"province","Pajak_Daerah_2010","Pajak_Daerah_2011","Pajak_Daerah_2012","Pajak_Daerah_2013","Pajak_Daerah_2014","Pajak_Daerah_2015","PDRB_2010","PDRB_2011","PDRB_2012","PDRB_2013","PDRB_2014","PDRB_2015","Growth_PD_2010_2010","Growth_PD_2010_2011","Growth_PD_2011_2012","Growth_PD_2012_2013","Growth_PD_2013_2014","Growth_PD_2014_2015","Means_Growth_PD","Growth_PDRB_2010_2010","Growth_PDRB_2010_2011","Growth_PDRB_2011_2012","Growth_PDRB_2012_2013","Growth_PDRB_2013_2014","Growth_PDRB_2014_2015","Means_Growth_PDRB","Growth_tdasar_takhir","Tax_Bouyancy","latitude","longitude"
"01 Provinsi Aceh",521326413,586181446,687476817,752838757,1030679175,1172602776,22450140,23428630,24294690,25218830,26065080,25808450,0,0.124403888586401,0.172805488285619,0.0950751187294218,0.369057006452711,0.137699106028799,0.17980812161659,0,0.0435850288684169,0.0369658831950481,0.0380387648494383,0.0335562752118159,-0.00984573997087291,0.0284600424307693,0.149589713026288,1.20200860058466,4.695135,96.7493993
"02 Provinsi Sumatera Utara",4475537801,5699605974,7471482414,8205144054,8717782024,8607934553,25412070,28518190,31109350,34544180,37913900,41019540,0,0.273501918077085,0.310877005898794,0.0981949229546831,0.0624776319131277,-0.0126003920145733,0.146490217365823,0,0.122230105615166,0.090859903801749,0.110411500079558,0.0975481253282029,0.0819129659570764,0.100592520156351,0.614175468586384,0.238515253145803,2.1153547,99.5450974
"03 Provinsi Sumatera Barat",1477012971,1917402413,1984888912,2146095920,2616591415,2840726865,21584910,24056680,26286160,28994480,32141090,34630860,0,0.298162203478713,0.0351968363774037,0.0812171437028008,0.219233208830666,0.0856593233147178,0.14389374314086,0,0.114513796907191,0.0926761298732826,0.103032165976316,0.108524450171205,0.0774637698970383,0.0992420625650066,0.604401408206011,0.238076452482079,-0.7399397,100.8000051
"04 Provinsi Riau",2514729204,3176853572,3898375410,4136214645,4943422622,5243679076,69701030,84811190,94996150,100691440,109784640,102887810,0,0.26329847641122,0.227118380387222,0.061009833580907,0.195156210758013,0.0607385766824288,0.161464295563958,0,0.216785318667457,0.120089813620113,0.0599528507207924,0.0903075772876026,-0.0628214475176127,0.0848628225556705,0.476130410124499,0.339117796575393,0.2933469,101.7068294
"05 Provinsi Jambi",1058151029,1371364103,1453576091,1604322332,2032428495,2062190831,29160160,32682040,35657570,39553640,43300300,45580040,0,0.296000349114625,0.0599490593491202,0.103707155018141,0.266845480151304,0.0146437309224992,0.148229154911138,0,0.120777115077558,0.0910448062605639,0.109263474768471,0.094723519756968,0.0526495197492858,0.0936916871225694,0.56309293227472,0.263241014786562,-1.4851831,102.4380581
"06 Provinsi Sumatera Selatan",2426459823,3183071815,3533163757,3881102622,4690097254,4730839883,25932000,29830370,32830490,35810160,38584880,41201280,0,0.311817234651159,0.109985561855757,0.0984779899631468,0.208444535172613,0.00868694758200424,0.147482453844936,0,0.150330479716181,0.100572671408367,0.0907592302155709,0.0774841553346871,0.0678089448509364,0.0973910963051484,0.588819990745025,0.250471207097314,-3.3194374,103.914399
"07 Provinsi Bengkulu",259804030,584064927,370247703,756834098,877271094,969402228,28906780,32465380,35288320,38314560,41948370,44425080,0,1.24809802603909,-0.366084683595459,1.04412908403648,0.159132624069483,0.1050201410147,0.438059038312858,0,0.123106067157947,0.0869523165907807,0.0857575537741666,0.0948414910676255,0.0590418650355187,0.0899398587252077,0.536839454273357,0.81599635575555,-3.5778471,102.3463875
"08 Provinsi Lampung",1786627283,2305902723,1465711124,3214443914,3985651872,4094874787,19722390,21981470,23910840,25768940,28755170,31153720,0,0.290645645536132,-0.364365586899912,1.19309512042702,0.239919556425025,0.0274040278749162,0.277339752672636,0,0.114543926978424,0.0877725648011712,0.077709524215795,0.115884859835135,0.0834128262848037,0.0958647404230658,0.579611801612279,0.47849224584657,-4.5585849,105.4068079
"09 Provinsi DKI Jakarta",20834745149,29186249154,34246493017,23370213238,59550949023,61659087403,111528860,125533820,138858290,155153920,174914360,195431680,0,0.400845028114051,0.173377669610776,-0.317588132998056,1.54815599740314,0.0354005841147181,0.368038229248926,0,0.125572519973754,0.106142472203905,0.117354390580498,0.127360236853829,0.1172992314639,0.118745770215177,0.752296939106165,0.489219362883767,-6.211544,106.845172
"10 Provinsi Jawa Barat",12107714857,14132785927,17239738721,11236145855,27064763085,28893551721,20974940,23251170,25272290,27767250,30107210,32648020,0,0.167254605341917,0.219840080366909,-0.348241522865247,1.40872301181071,0.0675708348252109,0.3030294018959,0,0.108521406974227,0.0869255181567207,0.098723146972435,0.0842704985189387,0.0843920775123301,0.0925665296269304,0.556525072300564,0.544502695347105,-7.090911,107.668887
"11 Provinsi Jawa Tengah",6969699996,8862046988,10863787157,12734359656,16032215444,19602995571,19209310,21162830,22865430,24952130,27517840,29933750,0,0.271510537481677,0.225877855501165,0.172184199852876,0.258973036500203,0.222725308269005,0.230254187520985,0,0.101696521113981,0.0804523780609682,0.0912600375326421,0.102825289865034,0.0877943181586927,0.0928057089462634,0.558293868962498,0.412424710930243,-7.150975,110.1402594
"12 Provinsi DI Yogyakarta",634710020,735226106,871630605,1063314118,1291664420,1397772209,18652970,20333340,21744880,23623920,25526400,27571530,0,0.158365368172382,0.185527279141527,0.219913701859975,0.214753381088842,0.0821481085621295,0.172141567764971,0,0.0900859219738197,0.0694199772393517,0.0864129854935966,0.0805319354281593,0.0801182305377962,0.0813138101345447,0.478130828495408,0.360030262651479,-7.8753849,110.4262088
"13 Provinsi Jawa Timur",11229493837,14179337271,15550004675,18002934973,22525642176,24826497157,26371100,29613050,32770380,36037180,39832680,43541400,0,0.262687123464156,0.0966665350998688,0.157744666272906,0.251220548748465,0.102143812949824,0.174092537307044,0,0.12293571371691,0.106619547800716,0.0996875837265238,0.105321781560044,0.0931074685409066,0.10553441906902,0.651102911899769,0.267380984058391,-7.5360639,112.2384017
"14 Provinsi Kalimantan Barat",1141286816,1492946370,1966038469,2281798565,2736247794,3114643971,19510070,21548090,23427050,25561500,28062480,30619330,0,0.308125485259264,0.316884858362327,0.160607282603482,0.199162728897588,0.138290171610094,0.224614105346551,0,0.104459901989075,0.0871984477510536,0.0911104897970508,0.0978416759579837,0.0911127598131028,0.0943446550616533,0.569411591039909,0.394467040855879,-0.2787808,111.4752851
"15 Provinsi Kalimantan Tengah",797092248,1224748595,1476903945,1899962290,2204325829,2241921133,25455050,28952940,31515970,34367340,36842260,40105060,0,0.536520519517084,0.205883355187682,0.286449465066599,0.160194515755363,0.0170552390691966,0.241220618919185,0,0.137414383393472,0.0885239979083299,0.0904738137522025,0.0720137200027701,0.0885613423280765,0.0953974514769702,0.575524699421136,0.419131653535991,-1.6814878,113.3823545
"16 Provinsi Kalimantan Selatan",2086274706,2867520494,4218531282,4486167444,4951415507,4402463976,23418470,26594380,28197080,30058020,32599830,34351690,0,0.374469280461094,0.471142504762165,0.0634429719988029,0.103707244280916,-0.110867595382356,0.180378881224124,0,0.135615605972551,0.0602646122977862,0.0659976139373297,0.0845634542794236,0.0537383170403036,0.0800359207054788,0.466863121288453,0.386363524979898,-3.316694,114.590111
"21 Provinsi Sulawesi Tenggara",405859964,525433014,673865168,816214290,915676760,1032941836,21573110,24302100,27582580,29641120,32115830,35092250,0,0.294616519504742,0.28249491380456,0.2112427363214,0.12185828062383,0.128063833355343,0.207655256721975,0,0.126499609931067,0.13498751136733,0.0746318872273732,0.0834890854326692,0.092677660829566,0.102457150957601,0.626666252570909,0.331364990327891,-4.14491,122.174605
"22 Provinsi Bali",2173771521,2834959860,3505464894,4024637935,4837069566,5237500013,23992630,26433490,29443590,33135150,38099860,42480080,0,0.304166437278483,0.23651306089392,0.148103905387449,0.201864526479448,0.0827836857701294,0.194686323161886,0,0.101733740736218,0.113874482711137,0.125377374158518,0.149832126910547,0.114966826649757,0.121156910233235,0.770547038819838,0.252659881037329,-8.4095178,115.188916
"23 Provinsi Nusa Tenggara Barat",785215373,984986932,1135783505,1371069007,1868686597,2019095681,15527410,14879830,14853740,15627570,17097660,21851530,0,0.254416260645473,0.153094998624814,0.207156998639455,0.362941316198828,0.080489197194151,0.211619754260544,0,-0.0417056031881685,-0.00175338024695175,0.0520966436735798,0.0940702873191417,0.278042141439238,0.0761500177993678,0.407287499975849,0.519583228734229,-8.6529334,117.3616476
"24 Provinsi Nusa Tenggara Timur",195007612,266729264,315288428,363720612,559803346,662667385,9316790,10194010,11268850,12379020,13599730,14867160,0,0.367788986616584,0.182054129613615,0.153612310820364,0.539102617588249,0.183750311131581,0.285261671154079,0,0.0941547464309059,0.1054383897995,0.0985167075611087,0.09861119862477,0.093195232552411,0.0979832549937391,0.595738446396237,0.478837101885389,-8.6573819,121.0793705
"25 Provinsi Maluku",243820323,337534570,311596629,356536978,601141290,705640789,11951840,13604410,15418360,17092990,19099980,20365600,0,0.384357816636967,-0.0768452872842032,0.144226043600748,0.686055941159629,0.173835171095966,0.262325937041821,0,0.138269086600892,0.133335440493193,0.108612718862447,0.117415969938554,0.0662628966103629,0.11277922250109,0.703971940722098,0.372636921824954,-3.2384616,130.1452734
"26 Provinsi Papua",500684826,534091605,709534137,867627290,1158882993,1292833985,38785110,37111150,37935010,40513650,43134250,47726070,0,0.0667221718438897,0.32848771700877,0.222812610071783,0.335692187598202,0.115586295431984,0.213860196390926,0,-0.0431598621223454,0.022199797096021,0.0679752028535118,0.0646843718104886,0.106454151863079,0.0436307323001509,0.230525580564294,0.927707007037686,-4.269928,138.0803529
"27 Provinsi Maluku Utara",108079484,148353878,177165169,309506558,334089234,347992349,22707790,24867950,27373410,30121090,33800170,37786580,0,0.372636808665741,0.194206524213678,0.746994399333652,0.0794253800593136,0.0416149746387817,0.286975617382233,0,0.0951285880308035,0.100750564481592,0.100377702303074,0.122142990177314,0.117940531068335,0.107268075212224,0.664035998219113,0.432168765175197,1.5709993,127.8087693
"28 Provinsi Banten",4041583479,5370882159,6367544615,6564157592,9098169475,9478365605,25397650,27977010,30202440,32991610,36629180,40091230,0,0.328905412174959,0.185567738500814,0.0308773615086794,0.386037636586955,0.0417882004775472,0.194635269849791,0,0.101559002506137,0.0795449549469368,0.0923491611935989,0.110257426054685,0.0945161753552769,0.095645344011327,0.578540927999244,0.336424374543205,-6.4058172,106.0640179
"29 Provinsi Bangka Belitung",562561509,754319781,784818642,880772088,988609336,1007793423,28906780,32465380,35288320,38314560,41948370,44425080,0,0.340866321161692,0.0404322699314179,0.122261935261217,0.122434906225139,0.0194051242502124,0.129080111365936,0,0.123106067157947,0.0869523165907807,0.0857575537741666,0.0948414910676255,0.0590418650355187,0.0899398587252077,0.536839454273357,0.240444532044786,-2.7410513,106.4405872
"30 Provinsi Gorontalo",120748493,144753702,318081397,384663460,507080130,446520161,14811950,16381670,18207860,20154350,22582500,25143390,0,0.198803383823598,1.19739732114071,0.209323976906452,0.318243562827621,-0.119428795208363,0.360867889898003,0,0.105976593223715,0.111477645441521,0.106903831641939,0.120477713248008,0.113401527731651,0.111647462257367,0.697507080431679,0.517368066965952,0.6999372,122.4467238
"31 Provinsi Kepulauan Riau",493750328,572738970,685601565,852180400,1006068104,951533884,65703340,72571750,80240250,87710290,94335330,101148530,0,0.159976890182441,0.197057649141633,0.242967407753802,0.180581135168094,-0.0542052966227424,0.145275557124645,0,0.104536694785988,0.10566783906961,0.093095921311312,0.0755332128077561,0.0722232063003331,0.0902113748549999,0.539473183555052,0.269291526535758,NA,NA
"32 Provinsi Papua Barat",201852241,199506649,265935468,315806862,444889729,457397879,54049320,56305110,58762560,63984190,68463580,72159850,0,-0.0116203416339579,0.33296543916188,0.187531939139461,0.408739905721238,0.0281151691861153,0.189146422314947,0,0.0417357702187558,0.0436452393042124,0.0888598114173378,0.0700077628551678,0.0539888507144967,0.0596474869019941,0.335074150794127,0.56449123833238,NA,NA
"33 Provinsi Sulawesi Barat",78331570,96370375,119929079,132791433,196864079,228164430,14755470,17001850,18688250,20457330,23415050,25728070,0,0.230287800946668,0.244460022076286,0.10724966878133,0.482505870691221,0.158994729556528,0.244699618410407,0,0.15224049115345,0.0991892058805365,0.0946626891228446,0.144579962292244,0.0987834747309957,0.117891164636014,0.743629311706099,0.32906128706653,-2.8441371,119.2320784
